iter	RMSE
0	0.127389033
1	0.115372852
2	0.1054062404
3	0.09725837577
4	0.09067607177
5	0.08539893617
6	0.08083577034
7	0.07742537423
8	0.07454734086
9	0.07228529853
10	0.07036725363
11	0.06900440792
12	0.06786578704
13	0.06698620348
14	0.06629557465
15	0.06568241678
16	0.06501966995
17	0.0645443353
18	0.06420325261
19	0.06380193002
20	0.06350024896
21	0.06321684992
22	0.06298256274
23	0.06255780213
24	0.06236527824
25	0.06212769696
26	0.0619410754
27	0.0617732959
28	0.06166927758
29	0.06127177818
30	0.06115833779
31	0.06104472486
32	0.06080989316
33	0.06060095127
34	0.06053669417
35	0.06048008595
36	0.06037463897
37	0.06017566004
38	0.05989933294
39	0.05980037437
40	0.05969832315
41	0.05964107106
42	0.0594556528
43	0.05937575936
44	0.05932212242
45	0.05918539212
46	0.0591404127
47	0.05901826353
48	0.05890438664
49	0.05866455312
50	0.05863125922
51	0.05856320491
52	0.05845726348
53	0.05839707395
54	0.05834576009
55	0.05828593103
56	0.05821903908
57	0.0580712808
58	0.05798721711
59	0.05792796366
60	0.05787092513
61	0.0577200567
62	0.05765742805
63	0.05753841176
64	0.05747028802
65	0.05740843007
66	0.05735620721
67	0.0573063043
68	0.05725931761
69	0.05716422072
70	0.05709295397
71	0.0570372167
72	0.05697542899
73	0.05694299081
74	0.05689540406
75	0.05680410851
76	0.05674264821
77	0.05670829531
78	0.05651162795
79	0.05646699922
80	0.05639904893
81	0.05631985478
82	0.0562803002
83	0.05619893986
84	0.05609251768
85	0.05603065733
86	0.05595869
87	0.05588731809
88	0.05583080939
89	0.05574881147
90	0.05566238185
91	0.05562694274
92	0.05555783061
93	0.05543151413
94	0.05533198678
95	0.05529827492
96	0.05523496073
97	0.05504724362
98	0.05491412405
99	0.05485641185
100	0.05476589717
101	0.05468814731
102	0.05458928424
103	0.05454641099
104	0.05444401213
105	0.05435855933
106	0.05429099111
107	0.05408947301
108	0.05399384214
109	0.05392937405
110	0.05390423288
111	0.05386831709
112	0.05383411237
113	0.05377372977
114	0.0537139714
115	0.05366997487
116	0.05364434896
117	0.05352300249
118	0.05343443985
119	0.05339786537
120	0.05332248052
121	0.05324527649
122	0.05313589463
123	0.05306277708
124	0.05301616027
125	0.05295732444
126	0.05286269593
127	0.05282422668
128	0.05280017234
129	0.05274967356
130	0.05269927021
131	0.05265766859
132	0.05260394093
133	0.05256371523
134	0.05247558632
135	0.05242682414
136	0.05235129868
137	0.05232441048
138	0.05221882626
139	0.05218034286
140	0.05215408957
141	0.05211399914
142	0.05205994482
143	0.05202360818
144	0.05197177999
145	0.05192232311
146	0.05179968956
147	0.05177885233
148	0.05175188558
149	0.0517193892
150	0.05168691184
151	0.05165560116
152	0.05163404277
153	0.05159655963
154	0.05156186386
155	0.05153582696
156	0.05146031761
157	0.05138863649
158	0.0513545065
159	0.05131981216
160	0.05129360216
161	0.05125896765
162	0.0512371591
163	0.05116681879
164	0.05111501168
165	0.05106620764
166	0.05098526607
167	0.05095264117
168	0.05093247842
169	0.05090747517
170	0.05088837453
171	0.05086637858
172	0.05082879617
173	0.05081222006
174	0.05073402957
175	0.05062052381
176	0.05058361401
177	0.05056888844
178	0.05054157625
179	0.05051137773
180	0.05048115327
181	0.05046283978
182	0.05044841477
183	0.05042288765
184	0.05040048104
185	0.0503413573
186	0.05024288901
187	0.05022968741
188	0.05020777599
189	0.05016352566
190	0.05014050048
191	0.05011081378
192	0.05006378599
193	0.050043774
194	0.04998666543
195	0.04995318292
196	0.04992669597
197	0.04990722488
198	0.04986754726
199	0.04979064963
200	0.04977045717
201	0.04972476014
202	0.04970132707
203	0.04962934863
204	0.0496053578
205	0.04956615584
206	0.04952660799
207	0.0494792743
208	0.04943113502
209	0.04938818043
210	0.04933748844
211	0.04920926786
212	0.04918599891
213	0.04912822506
214	0.04906319145
215	0.0490220923
216	0.04898376667
217	0.04896677997
218	0.04890655589
219	0.0488613413
220	0.04883125388
221	0.04880712887
222	0.04877063697
223	0.04866359839
224	0.04862983818
225	0.04858912803
226	0.04853401588
227	0.04851598172
228	0.04848241503
229	0.04842859673
230	0.04840648235
231	0.04837039261
232	0.04835555909
233	0.04830773984
234	0.04827006888
235	0.0482488643
236	0.04820832192
237	0.04816836131
238	0.04815710728
239	0.04809446036
240	0.0480762742
241	0.04805022439
242	0.04802958169
243	0.04801203683
244	0.0479919347
245	0.04795538707
246	0.04791020265
247	0.04789005608
248	0.04786262249
249	0.04784328808
250	0.04781957052
251	0.04779985581
252	0.0477711041
253	0.04775374891
254	0.04771938644
255	0.0476666891
256	0.0476422394
257	0.04760313759
258	0.04758197629
259	0.04756303491
260	0.04754541975
261	0.04752601613
262	0.0474964598
263	0.04747323231
264	0.04745385422
265	0.04736375087
266	0.04732892182
267	0.04728441991
268	0.04724294599
269	0.0472289563
270	0.04721918285
271	0.04717510458
272	0.0471364122
273	0.04710425259
274	0.04706922686
275	0.04703605221
276	0.04699503748
277	0.04695764692
278	0.04692259886
279	0.0469044031
280	0.04688564614
281	0.04686133192
282	0.0468399378
283	0.04682245367
284	0.04676561886
285	0.04675126346
286	0.04674181825
287	0.04672853822
288	0.04671343437
289	0.04668041413
290	0.04665791968
291	0.04661528747
